keyword_asset_id,keyword,traffic_word_type,source_sheet,source_row,row_layout
kw_0084,battery jump starter portable,SP广告词,5.关键词库,85,rich_top_asin_col33
kw_0085,jumper packs for cars and trucks,自然搜索词,5.关键词库,86,rich_top_asin_col33
kw_0085,jumper packs for cars and trucks,品牌广告词,5.关键词库,86,rich_top_asin_col33
kw_0085,jumper packs for cars and trucks,视频广告词,5.关键词库,86,rich_top_asin_col33
kw_0086,emergency car battery jump starter,自然搜索词,5.关键词库,87,rich_top_asin_col33
kw_0086,emergency car battery jump starter,品牌广告词,5.关键词库,87,rich_top_asin_col33
kw_0086,emergency car battery jump starter,视频广告词,5.关键词库,87,rich_top_asin_col33
kw_0086,emergency car battery jump starter,SP广告词,5.关键词库,87,rich_top_asin_col33
kw_0087,jumpbox for cars,自然搜索词,5.关键词库,88,rich_top_asin_col33
kw_0087,jumpbox for cars,品牌广告词,5.关键词库,88,rich_top_asin_col33
kw_0087,jumpbox for cars,视频广告词,5.关键词库,88,rich_top_asin_col33
kw_0087,jumpbox for cars,SP广告词,5.关键词库,88,rich_top_asin_col33
kw_0089,car battery charger jump starter,自然搜索词,5.关键词库,90,rich_top_asin_col33
kw_0089,car battery charger jump starter,HR推荐词,5.关键词库,90,rich_top_asin_col33
kw_0089,car battery charger jump starter,品牌广告词,5.关键词库,90,rich_top_asin_col33
kw_0089,car battery charger jump starter,视频广告词,5.关键词库,90,rich_top_asin_col33
kw_0089,car battery charger jump starter,SP广告词,5.关键词库,90,rich_top_asin_col33
kw_0090,tire inflator jump starter combo,品牌广告词,5.关键词库,91,rich_top_asin_col33
kw_0091,battery powered air pump,自然搜索词,5.关键词库,92,rich_top_asin_col33
kw_0092,self starter car battery jumper,自然搜索词,5.关键词库,93,rich_top_asin_col33
kw_0092,self starter car battery jumper,品牌广告词,5.关键词库,93,rich_top_asin_col33
kw_0092,self starter car battery jumper,视频广告词,5.关键词库,93,rich_top_asin_col33
kw_0093,battery pack charger portable car jumper,自然搜索词,5.关键词库,94,rich_top_asin_col33
kw_0093,battery pack charger portable car jumper,品牌广告词,5.关键词库,94,rich_top_asin_col33
kw_0093,battery pack charger portable car jumper,视频广告词,5.关键词库,94,rich_top_asin_col33
kw_0094,car starter,自然搜索词,5.关键词库,95,rich_top_asin_col33
kw_0094,car starter,HR推荐词,5.关键词库,95,rich_top_asin_col33
kw_0094,car starter,品牌广告词,5.关键词库,95,rich_top_asin_col33
kw_0094,car starter,视频广告词,5.关键词库,95,rich_top_asin_col33
kw_0094,car starter,SP广告词,5.关键词库,95,rich_top_asin_col33
kw_0095,portable charger for car battery,自然搜索词,5.关键词库,96,rich_top_asin_col33
kw_0095,portable charger for car battery,视频广告词,5.关键词库,96,rich_top_asin_col33
kw_0096,car booster pack jump start,自然搜索词,5.关键词库,97,rich_top_asin_col33
kw_0096,car booster pack jump start,品牌广告词,5.关键词库,97,rich_top_asin_col33
kw_0096,car booster pack jump start,视频广告词,5.关键词库,97,rich_top_asin_col33
kw_0096,car booster pack jump start,SP广告词,5.关键词库,97,rich_top_asin_col33
kw_0097,clore automotive jump-n-carry jnc660 1700 peak amp 12 volt,自然搜索词,5.关键词库,98,rich_top_asin_col33
